FamilyName,FirstName
ABBOTT, Mrs Rhoda Mary 'Rosa'
ABELSETH, Miss Kalle (Karen) Marie Kristiane
ABELSETH, Mr Olaus Jørgensen
ABELSON, Mrs Anna
ABĪ SA'B, Mrs Sha'nīnah
ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim
ABRAHAMSSON, Mr August Abraham Johannes
AKS, Mrs Leah
AKS, Master Philip
AL-BA'QLĪNĪ, Mrs Laṭīfah
AL-BA'QLĪNĪ, Miss Mārīyā
AL-BA'QLĪNĪ, Miss Ūwjīnīyā
AL-BA'QLĪNĪ, Miss Hilānah
AL-ZA'INNĪ, Mr Fahīm Rūḥānā
ALLEN, Miss Elisabeth Walton
ALLEN, Mr Ernest Frederick
ALLISON, Master Hudson Trevor
ANDERSEN (JENSEN), Miss Carla Christine Nielsine
ANDERSON, Mr Harry
ANDERSON, Mr John
ANDERSSON, Miss Erna Alexandra
ANDREWS, Miss Cornelia Theodosia
ANDREWS, Mr Charles Edward
ANGLE, Mrs Florence Agnes
APPLETON, Mrs Charlotte
ARCHER, Mr Ernest Edward
ASPLUND, Master Edvin Rojj Felix
ASPLUND, Mr Johan Charles
ASPLUND, Mrs Selma Augusta Emilia
ASPLUND, Miss Lillian Gertrud
ASTOR, Mrs Madeleine Talmage
AUBART, Mme. Léontine Pauline
AVERY, Mr James Albert
AYYŪB-DĀHIR, Miss Bannūrah
BACKSTRÖM, Mrs Maria Mathilda
BADMAN, Miss Emily Louisa
BAGGOTT, Mr Allen Marden
BAILEY, Mr Henry Joseph
BALL, Mr Percy
BALLS, Mrs Ada Elizabeth
BARBER, Miss Ellen Mary
BARKWORTH, Mr Algernon Henry
BARRETT, Mr Frederick William
BASSANI, Mrs Albina
BAXTER, Mrs Hélène
BEANE, Mr Edward
BEANE, Mrs Ethel Louisa
BEAUCHAMP, Mr George William
BECKER, Mrs Nellie E.
BECKER, Miss Marion Louise
BECKER, Master Richard F.
BECKER, Miss Ruth Elizabeth
BECKWITH, Mr Richard Leonard
BECKWITH, Mrs Sarah Maybell
BEESLEY, Mr Lawrence
BEHR, Mr Karl Howell
BENNETT, Mrs Mabel Kate
BENTHAM, Miss Lillian Winifred
BESSETTE, Miss Nellie Mayo
BIDOIS, Miss Rosalie
BING, Mr Lee
BINSTEAD, Mr Walter William
BIRD, Miss Ellen
BISHOP, Mr Dickinson H.
BISHOP, Mrs Helen Margaret
BJÖRNSTRÖM-STEFFANSSON, Mr Mauritz Håkan
BLAKE, Mr Percival Albert
BLANK, Mr Henry
BLISS, Mrs Emma
BONNELL, Miss Caroline
BONNELL, Miss Elizabeth
BOWEN, Miss Grace Scott
BOWERMAN, Miss Elsie Edith
BOWKER, Miss Ruth Harwood
BOXHALL, Mr Joseph Groves
BRADLEY, Miss Bridget
BRERETON, Mr George Andrew
BRICE, Mr Walter Thomas
BRIDE, Mr Harold Sydney
BRIGHT, Mr Arthur John
BROWN, Miss Amelia Mary
BROWN, Mrs Caroline Lane
BROWN, Mrs Margaret
BROWN, Mrs Elizabeth Catherine
BROWN, Miss Edith Eileen
BROWN, Mr Edward
BRYHL, Miss Dagmar Jenny Ingeborg
BUCKLEY, Mr Daniel
BUCKNELL, Mrs Emma Eliza
BULEY, Mr Edward John
BURGESS, Mr Charles
BURKE, Mr William
BURNS, Miss Elizabeth Margaret
BURRAGE, Mr Arthur Victor Edwards
BUSS, Miss Kate
BYSTRÖM, Mrs Karolina
CALDERHEAD, Mr Edward Pennington
CALDWELL, Mr Albert Francis
CALDWELL, Mrs Sylvia Mae
CALDWELL, Master Alden Gates
CAMERON, Miss Clear Annie
CANDEE, Mrs Helen Churchill
CARDEZA, Mrs Charlotte Wardle
CARDEZA, Mr Thomas Drake Martinez
CARTER, Mr William Ernest
CARTER, Mrs Lucile
CARTER, Miss Lucile Polk
CARTER, Master William Thornton II
CASSEBEER, Mrs Eleanor Genevieve
CATON, Miss Annie
CAVELL, Mr George Henry
CAVENDISH, Mrs Julia Florence
CHAFFEE, Mrs Carrie Constance
CHAMBERS, Mr Norman Campbell
CHAMBERS, Mrs Bertha
CHAPMAN, Mr Joseph Charles
CHAUDANSON, Miss Victorine
CHERRY, Miss Gladys
CHEVRÉ, Mr Paul Romaine Marie Léonce
CHIBNALL, Mrs Edith Martha Bowerman
CHIP, Mr Chang
CHRISTY, Mrs Alice Frances
CHRISTY, Miss Rachel Juli Cohen
CLARK, Mrs Virginia Estelle
CLARK, Mr William
CLARKE, Mrs Ada Maria
CLEAVER, Miss Alice Catherine
CLENCH, Mr Frederick Charles
COHEN, Mr Gurshon
COLGAN, Mr Joseph
COLLETT, Mr Sidney Clarence Stuart
COLLINS, Mr John
COLLINS, Mr John
COLLYER, Mrs Charlotte Caroline
COLLYER, Miss Marjorie Lottie
COMBES, Mr George
COMPTON, Mrs Mary Eliza
COMPTON, Miss Sara Rebecca
CONNOLLY, Miss Catherine
COOK, Mrs Selena
CORNELL, Mrs Malvina Helen
CORR, Miss Ellen
COUPER, Mr Robert Frederick William
COUTTS, Mrs Minnie
COUTTS, Master William Loch
COUTTS, Master Neville Leslie
CRAFTER, Mr Frederick Horace
CRAWFORD, Mr Alfred George
CRIBB, Miss Laura May
CRIMMINS, Mr James
