ABBOTT, Mrs Rhoda Mary 'Rosa'
ABELSETH, Miss Kalle (Karen) Marie Kristiane
ABELSETH, Mr Olaus Jørgensen
ABELSON, Mrs Anna
ABĪ SA'B, Mrs Sha'nīnah
ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim
ABRAHAMSSON, Mr August Abraham Johannes
AKS, Mrs Leah
AKS, Master Philip
AL-BA'QLĪNĪ, Mrs Laṭīfah
AL-BA'QLĪNĪ, Miss Mārīyā
AL-BA'QLĪNĪ, Miss Ūwjīnīyā
AL-BA'QLĪNĪ, Miss Hilānah
AL-ZA'INNĪ, Mr Fahīm Rūḥānā
ALLEN, Miss Elisabeth Walton
ALLISON, Master Hudson Trevor
ANDERSEN (JENSEN), Miss Carla Christine Nielsine
ANDERSON, Mr Harry
ANDERSSON, Miss Erna Alexandra
ANDREWS, Miss Cornelia Theodosia
ANGLE, Mrs Florence Agnes
APPLETON, Mrs Charlotte
ASPLUND, Master Edvin Rojj Felix
ASPLUND, Mr Johan Charles
ASPLUND, Mrs Selma Augusta Emilia
ASPLUND, Miss Lillian Gertrud
ASTOR, Mrs Madeleine Talmage
AUBART, Mme. Léontine Pauline
AYYŪB-DĀHIR, Miss Bannūrah
BACKSTRÖM, Mrs Maria Mathilda
BADMAN, Miss Emily Louisa
BALLS, Mrs Ada Elizabeth
BARBER, Miss Ellen Mary
BARKWORTH, Mr Algernon Henry
BASSANI, Mrs Albina
BAXTER, Mrs Hélène
BEANE, Mr Edward
BEANE, Mrs Ethel Louisa
BECKER, Mrs Nellie E.
BECKER, Miss Marion Louise
BECKER, Master Richard F.
BECKER, Miss Ruth Elizabeth
BECKWITH, Mr Richard Leonard
BECKWITH, Mrs Sarah Maybell
BEESLEY, Mr Lawrence
BEHR, Mr Karl Howell
BENTHAM, Miss Lillian Winifred
BESSETTE, Miss Nellie Mayo
BIDOIS, Miss Rosalie
BING, Mr Lee
BIRD, Miss Ellen
BISHOP, Mr Dickinson H.
BISHOP, Mrs Helen Margaret
BJÖRNSTRÖM-STEFFANSSON, Mr Mauritz Håkan
BLANK, Mr Henry
BONNELL, Miss Caroline
BONNELL, Miss Elizabeth
BOWEN, Miss Grace Scott
BOWERMAN, Miss Elsie Edith
BRADLEY, Miss Bridget
BRERETON, Mr George Andrew
BROWN, Miss Amelia Mary
BROWN, Mrs Caroline Lane
BROWN, Mrs Margaret
BROWN, Mrs Elizabeth Catherine
BROWN, Miss Edith Eileen
BRYHL, Miss Dagmar Jenny Ingeborg
BUCKLEY, Mr Daniel
BUCKNELL, Mrs Emma Eliza
BURNS, Miss Elizabeth Margaret
BUSS, Miss Kate
BYSTRÖM, Mrs Karolina
CALDERHEAD, Mr Edward Pennington
CALDWELL, Mr Albert Francis
CALDWELL, Mrs Sylvia Mae
CALDWELL, Master Alden Gates
CAMERON, Miss Clear Annie
CANDEE, Mrs Helen Churchill
CARDEZA, Mrs Charlotte Wardle
CARDEZA, Mr Thomas Drake Martinez
CARTER, Mr William Ernest
CARTER, Mrs Lucile
CARTER, Miss Lucile Polk
CARTER, Master William Thornton II
CASSEBEER, Mrs Eleanor Genevieve
CAVENDISH, Mrs Julia Florence
CHAFFEE, Mrs Carrie Constance
CHAMBERS, Mr Norman Campbell
CHAMBERS, Mrs Bertha
CHAUDANSON, Miss Victorine
CHERRY, Miss Gladys
CHEVRÉ, Mr Paul Romaine Marie Léonce
CHIBNALL, Mrs Edith Martha Bowerman
CHIP, Mr Chang
CHRISTY, Mrs Alice Frances
CHRISTY, Miss Rachel Juli Cohen
CLARK, Mrs Virginia Estelle
CLARKE, Mrs Ada Maria
CLEAVER, Miss Alice Catherine
COHEN, Mr Gurshon
COLLETT, Mr Sidney Clarence Stuart
COLLYER, Mrs Charlotte Caroline
COLLYER, Miss Marjorie Lottie
COMPTON, Mrs Mary Eliza
COMPTON, Miss Sara Rebecca
CONNOLLY, Miss Catherine
COOK, Mrs Selena
CORNELL, Mrs Malvina Helen
CORR, Miss Ellen
COUTTS, Mrs Minnie
COUTTS, Master William Loch
COUTTS, Master Neville Leslie
CRIBB, Miss Laura May
CROSBY, Mrs Catherine Elizabeth
CROSBY, Miss Harriette Rebecca
CUMINGS, Mrs Florence Briggs
DAHL, Mr Charles Edward
DALY, Mr Peter Dennis
DALY, Miss Margaret
DALY, Mr Eugene Patrick
DANIEL, Mr Robert Williams
DANIELS, Miss Sarah
DAVIDSON, Mrs Orian
DAVIES, Mrs Agnes
DAVIES, Master John Morgan jr
DAVIS, Miss Mary Ann Charlotte
DAVISON, Mrs Mary Elizabeth
DE MESSEMAEKER, Mr Guillaume Joseph
DE MESSEMAEKER, Mrs Anna
DE MULDER, Mr Theodoor
DEAN, Mrs Eva Georgetta
DEAN, Master Bertram Vere
DEAN, Miss Eliza Gladys Millvina
DEL CARLO, Mrs Argene
DEVANEY, Miss Margaret Bedelia
DICK, Mr Albert Adrian
DICK, Mrs Vera
DODGE, Dr Washington
DODGE, Mrs Ruth
DODGE, Master Washington
DOLING, Mrs Ada Julia Elizabeth
DOLING, Miss Elsie
DORKINGS, Mr Edward Arthur
DOUGLAS, Mrs Mahala
DOUGLAS, Mrs Mary Hélène
DOWDELL, Miss Elizabeth
DREW, Mrs Maria Louisa Thorne
DREW, Master Marshall Brines
DRISCOLL, Miss Bridget
DROPKIN, Miss Jennie
DUFF GORDON, Sir Cosmo Edmund
DUFF GORDON, Lucy Christiana
DUQUEMIN, Mr Joseph Pierre
DURÁN I MONÉ, Miss Florentina
DURÁN I MONÉ, Miss Asuncion
DYKER, Mrs Anna Elisabeth Judith
EARNSHAW, Mrs Olive
EMANUEL, Miss Virginia Ethel
ENDRES, Miss Caroline Louise
EUSTIS, Miss Elizabeth Mussey
FINOLI, Mr Luigi
FLEGENHEIM, Mrs Antoinette
FLEMING, Miss Margaret
FLYNN, Mr John Irwin
FOO, Mr Choong
FORTUNE, Mrs Mary
FORTUNE, Miss Ethel Flora
FORTUNE, Miss Alice Elizabeth
FORTUNE, Miss Mabel Helen
FRANCATELLI, Miss Laura Mabel
FRAUENTHAL, Mr Isaac Gerry
FRAUENTHAL, Dr Henry William
FRAUENTHAL, Mrs Clara
FRÖLICHER, Miss Hedwig Margaritha
FRÖLICHER-STEHLI, Mr Maximilian Josef
FRÖLICHER-STEHLI, Mrs Margaretha Emerentia
FUTRELLE, Mrs Lily May
GARSIDE, Miss Ethel
GIBSON, Mrs Pauline Caroline
GIBSON, Miss Dorothy Winifred
GIEGER, Miss Amalie Henriette
GILNAGH, Miss Kate
GLYNN, Miss Mary Agatha
GOLDENBERG, Mr Samuel Levi
GOLDENBERG, Mrs Nella Carlynne
GOLDSMITH, Mrs Emily Alice
GOLDSMITH, Master Frank John William
GRACIE, Colonel Archibald
GRAHAM, Mrs Edith
GRAHAM, Miss Margaret Edith
GREENFIELD, Mrs Blanche
GREENFIELD, Mr William Bertram
HAKKARAINEN, Mrs Elin Matilda
HÄMÄLÄINEN, Mrs Anna Lydia Amanda
HÄMÄLÄINEN, Master Viljo Unto Johannes
ḤANNĀ, Mr Mubārik Sulaymān Abī Āsī
HANSEN, Mrs Jennie Louise
HARDER, Mr George Achilles
