FamilyName,FirstName
ABBING, Mr Anthony
ABBOTT, Mr Rossmore Edward
ABBOTT, Mr Eugene Joseph
ABBOTT, Mr Ernest Owen
ABELSON, Mr Samuel
ABĪ SA'B, Mr Jirjis Yūsuf
ABĪ SHADĪD, Mr Dāhir
ABRAMS, Mr William Thomas
ÅDAHL, Mr Mauritz
ADAMS, Mr John
ADAMS, Mr Robert John
AHIER, Mr Percy Snowden
AHLIN, Mrs Johanna Persdotter
AHMED, Mr Ali
ÄIJÖ-NIRVA, Mr Isakki Antonpoika
AKERMAN, Mr Albert Edward
AKERMAN, Mr Joseph Francis
AL-MUNÀ, Mr Farīd Husayn Qāsim
ALDWORTH, Mr Augustus Henry
ALEXANDER, Mr William Albert
ALHOMÄKI, Mr Ilmari Rudolf
ALI, Mr William
ALLARIA, Mr Battista Antonio
ALLEN, Mr William Henry
ALLEN, Mr Henry
ALLEN, Mr George
ALLEN, Mr Robert Spencer
ALLISON, Mr Hudson Joshua Creighton
ALLISON, Mrs Bess Waldo
ALLISON, Miss Helen Loraine
ALLSOP, Mr Alfred Samuel
ALLSOP, Mr Frank Richard
ALLUM, Mr Owen George
ANDERSEN, Mr Albert Kaurin
ANDERSON, Mr Walter Yuill
ANDERSSON, Mr Johan Samuel
ANDERSSON, Miss Ida Augusta Margareta
ANDERSSON, Mr Anders Johan
ANDERSSON, Mrs Alfrida Konstantia Brogren
ANDERSSON, Miss Sigrid Elisabeth
ANDERSSON, Miss Ingeborg Constanzia
ANDERSSON, Miss Ebba Iris Alfrida
ANDERSSON, Master Sigvard Harald Elias
ANDERSSON, Miss Ellis Anna Maria
ANDREASSON, Mr Pål Edvin
ANDREW, Mr Edgar Samuel
ANDREW, Mr Frank Thomas
ANDREWS, Mr Thomas
ANGLE, Mr William
ARNOLD-FRANCHI, Mr Josef
ARNOLD-FRANCHI, Mrs Josefine
ARONSSON, Mr Ernst Axel Algot
ARTAGAVEYTIA, Mr Ramon
ASHBY, Mr John
ASHCROFT, Mr Austin Aloysius
ASHE, Mr Henry Wellesley
ASIM, Mr Adola
ASPESLAGH, Mr Georges
ASPLUND, Mr Carl Oscar Vilhelm Gustafsson
ASPLUND, Master Carl Edgar
ASPLUND, Master Filip Oscar
