ABBOTT, Mr Eugene Joseph
ALLISON, Miss Helen Loraine
ANDERSSON, Miss Sigrid Elisabeth
ANDERSSON, Miss Ingeborg Constanzia
ANDERSSON, Miss Ebba Iris Alfrida
ANDERSSON, Master Sigvard Harald Elias
ANDERSSON, Miss Ellis Anna Maria
ASPLUND, Master Carl Edgar
ASPLUND, Master Filip Oscar
ASPLUND, Master Clarence Gustaf Hugo
BŪLUS, Miss Nūr al-'ayn
BŪLUS, Master Akar
DANBOM, Master Gilbert Sigvard Emanuel
FORD, Mr William Neal Thomas
FORD, Miss Robina Maggie
GOODWIN, Mr Charles Edward
GOODWIN, Master William Frederick
GOODWIN, Miss Jessie Allis Mary
GOODWIN, Master Harold Victor
GOODWIN, Master Sidney Leslie
HOPKINS, Mr Frederick William
IBRĀHĪM, Mr Husayn Mahmūd Husayn
JOHNSTON, Master William Andrew
JOHNSTON, Miss Catherine Nellie
KLASÉN, Miss Gertrud Emilia
LEFEBVRE, Master Henry
LEFEBVRE, Miss Ida
LEFEBVRE, Miss Jeannie
LEFEBVRE, Miss Mathilde
PÅLSSON, Master Gösta Leonard
PÅLSSON, Master Paul Folke
PÅLSSON, Miss Stina Viola
PÅLSSON, Miss Torborg Danira
PANULA, Master Juha Niilo
PANULA, Master Urho Abraham
PANULA, Master Eino Viljam
PEACOCK, Master Albert Edward
PEACOCK, Miss Treasteall
RICE, Master Albert
RICE, Master George
RICE, Master Eric
RICE, Master Arthur
RICE, Master Francis
ROSBLOM, Miss Salli Helena
SAGE, Miss Dorothy Florence
SAGE, Master Anthony William
SAGE, Miss Elizabeth Ada
SAGE, Miss Constance Gladys
SAGE, Master Thomas Henry
SEMAN, Master Betros
SKOOG, Master Karl Thorsten
SKOOG, Master Harald
SKOOG, Miss Mabel
SKOOG, Miss Margit Elizabeth
STRÖM, Miss Telma Matilda
SWEET, Mr George Frederick
VAN BILLIARD, Master James William
VAN BILLIARD, Master Walter John
VAN IMPE, Miss Catharina
VESTRÖM, Miss Hulda Amanda Adolfina
WATSON, Mr William Albert
